name,username,job,company,website,ssn,address,residence,blood_group,sex,mail,birthdate,current_location
Aaron Kelly,lawsonethan,Accounting technician,"Fischer, Jones and Wall",['https://www.nelson-rhodes.com/'],104-47-2827,"Unit 2801 Box 6809
DPO AP 25697","PSC 1829, Box 9386
APO AP 09428",B-,M,brian39@gmail.com,1968-02-09,"(Decimal('12.232770'), Decimal('13.991795'))"
Adam Carlson,shannon72,"Surveyor, building",Lowe Group,['https://www.kennedy.info/'],153-59-9672,"Unit 0304 Box 8064
DPO AP 60434","85150 Mckinney Turnpike Suite 518
Gardnerport, UT 11569",O-,M,williamsdavid@yahoo.com,1994-10-23,"(Decimal('-8.0017205'), Decimal('-57.295144'))"
Adrienne Parks,wmayer,"Teacher, early years/pre","Chase, Harvey and Johnson","['http://li.com/', 'https://little.com/']",769-46-8908,"8671 Jennifer Drive Suite 305
Port Kimberly, DC 83122","PSC 7404, Box 0557
APO AA 29134",AB-,F,frazierjoy@yahoo.com,1990-05-01,"(Decimal('79.135671'), Decimal('118.883341'))"
Alexander Odom,james29,"Nurse, children's",Riley PLC,['https://larson.com/'],011-08-8100,"1979 Carolyn Shoal Suite 455
Justinstad, SD 12458","505 Rodriguez Forges
East Michael, MS 23176",B-,M,pwright@yahoo.com,1986-01-23,"(Decimal('86.070362'), Decimal('92.110100'))"
Alexandra Brewer,ramosjuan,Psychotherapist,Spears-Sexton,"['https://www.ruiz.com/', 'http://www.smith-mahoney.org/']",622-70-3216,"242 Brian Club
Wagnerhaven, CA 01053","846 Monica Prairie Suite 094
New Brittanyfort, VA 03210",O+,F,williamsjeff@gmail.com,1990-08-24,"(Decimal('77.456178'), Decimal('-141.992722'))"
Alison Spencer,vickigray,Records manager,Adams-Shelton,"['http://weber.net/', 'http://www.wyatt.org/', 'https://www.morris-taylor.com/']",035-91-4415,"359 Gary Walk
Davidmouth, NJ 39352","045 Zamora Road Suite 977
Juliaton, NC 46422",A-,F,martinjacqueline@hotmail.com,1917-01-10,"(Decimal('-43.703962'), Decimal('107.549384'))"
Amanda Harding,owensderrick,Geographical information systems officer,Solis and Sons,['https://www.peterson-wong.net/'],537-69-4506,"87559 Taylor Mountain
Port Crystalbury, CA 94055","891 Smith Pine
Montgomeryborough, OH 93429",B+,F,jonesapril@gmail.com,1918-08-18,"(Decimal('-21.4425765'), Decimal('101.939454'))"
Amanda Jackson,erinwheeler,Animal technologist,Blackburn Ltd,"['http://bush-sanchez.org/', 'https://hughes.biz/', 'https://smith.com/']",457-84-7384,"7625 Kimberly Falls
Port Ruthland, WY 43599","1048 English Court Suite 500
Moorefurt, SC 52890",B-,F,elizabethjones@yahoo.com,1958-01-02,"(Decimal('-80.077771'), Decimal('-122.422071'))"
Amanda Johnson,haley85,Solicitor,Burns-Briggs,"['http://johnson-day.net/', 'http://www.gardner.org/', 'https://martinez-fisher.com/']",221-64-8403,"77483 Bailey Corners
Lake Charles, ND 91956","641 Deborah Lock
Stewartton, KY 46639",B+,F,caitlin00@yahoo.com,1993-05-10,"(Decimal('-35.757933'), Decimal('15.670328'))"
Amy Salazar DDS,dawsonkelly,Building services engineer,Castaneda Ltd,"['https://www.torres-bean.com/', 'https://rivera.com/', 'http://www.west.com/', 'http://www.alexander.com/']",096-67-7483,"319 Cardenas Parkway
Robertabury, NV 92516","7752 Barton Rest Apt. 204
Lake Marcchester, OK 18501",O-,F,melinda94@yahoo.com,1974-12-07,"(Decimal('13.930967'), Decimal('99.386679'))"
Andrea Juarez,dromero,"Production assistant, radio",Zamora LLC,"['https://larson-bauer.com/', 'http://www.carpenter.biz/']",189-36-6008,"87206 Nathan Trail Suite 265
Smithfort, DE 58261","567 Anthony Cliffs
Lake Mariofurt, SD 41537",B+,F,qrichardson@yahoo.com,2017-01-18,"(Decimal('-31.405927'), Decimal('85.419761'))"
Andrew Clements,smithanne,Sports administrator,Bishop-Owens,['http://ramirez.com/'],337-70-2877,"027 Haas Spur
Brownborough, CA 03582","824 Taylor Station Apt. 024
Tuckermouth, KS 31687",B+,M,jonesjustin@gmail.com,1987-11-14,"(Decimal('-68.4072485'), Decimal('-173.346955'))"
Andrew Cordova Jr.,pamelaphillips,Chief Executive Officer,"Page, Carson and Price","['https://www.hughes.com/', 'http://www.roman.com/', 'https://www.williams-miller.com/', 'https://morgan.biz/']",212-83-4544,"75648 Brown Trail Apt. 697
Georgeshire, MA 16592","8105 Burton Overpass Suite 524
Lake Susan, IA 29125",AB-,M,nicolegriffith@yahoo.com,2014-08-13,"(Decimal('-57.361089'), Decimal('-37.723646'))"
Angela Green,heather47,"Designer, ceramics/pottery",Burke Ltd,"['http://robertson.com/', 'http://collins-smith.com/']",054-12-5792,"30224 Lauren Crest Suite 943
Buchananstad, NH 05757","4630 Fletcher Grove
New Derrick, NM 20380",A+,F,zcantu@yahoo.com,1937-12-01,"(Decimal('-57.480346'), Decimal('91.357799'))"
Angela Page,scottamber,Manufacturing systems engineer,Dodson PLC,['https://lee.com/'],002-72-6863,"282 Hodges Radial
Randymouth, RI 73357","Unit 1224 Box 9078
DPO AP 43925",AB+,F,arobinson@gmail.com,1977-04-09,"(Decimal('29.598287'), Decimal('-109.717356'))"
